V1,Date,CodRes,PM2.5,Cod,ano,month
1636,2023-06-29,ID_3123528,9.560373306,3123528,2023,6
1637,2023-06-30,ID_3123528,9.013719559,3123528,2023,6
1638,2023-07-01,ID_3123528,8.029742241,3123528,2023,7
1639,2023-07-02,ID_3123528,9.42067337,3123528,2023,7
1640,2023-07-03,ID_3123528,7.416274548,3123528,2023,7
1641,2023-07-04,ID_3123528,4.312493801,3123528,2023,7
1642,2023-07-05,ID_3123528,6.377631664,3123528,2023,7
1643,2023-07-06,ID_3123528,7.313017845,3123528,2023,7
1644,2023-07-07,ID_3123528,5.314692974,3123528,2023,7
1645,2023-07-08,ID_3123528,6.565923691,3123528,2023,7
1646,2023-07-09,ID_3123528,9.718296051,3123528,2023,7
1647,2023-07-10,ID_3123528,9.323490143,3123528,2023,7
1648,2023-07-11,ID_3123528,10.02806664,3123528,2023,7
1649,2023-07-12,ID_3123528,9.226306915,3123528,2023,7
1650,2023-07-13,ID_3123528,5.272175789,3123528,2023,7
1651,2023-07-14,ID_3123528,9.444969177,3123528,2023,7
1652,2023-07-15,ID_3123528,7.95685482,3123528,2023,7
1653,2023-07-16,ID_3123528,7.89611578,3123528,2023,7
1654,2023-07-17,ID_3123528,7.25835228,3123528,2023,7
1655,2023-07-18,ID_3123528,9.01979351,3123528,2023,7
1656,2023-07-19,ID_3123528,10.0827322,3123528,2023,7
1657,2023-07-20,ID_3123528,7.112577915,3123528,2023,7
1658,2023-07-21,ID_3123528,5.630537987,3123528,2023,7
1659,2023-07-22,ID_3123528,6.450519085,3123528,2023,7
1660,2023-07-23,ID_3123528,5.837051392,3123528,2023,7
1661,2023-07-24,ID_3123528,4.74374342,3123528,2023,7
1662,2023-07-25,ID_3123528,7.446644306,3123528,2023,7
1663,2023-07-26,ID_3123528,5.709498882,3123528,2023,7
1664,2023-07-27,ID_3123528,7.015395164,3123528,2023,7
1665,2023-07-28,ID_3123528,7.677453995,3123528,2023,7
1666,2023-07-29,ID_3123528,11.34611034,3123528,2023,7
1667,2023-07-30,ID_3123528,6.845324993,3123528,2023,7
1668,2023-07-31,ID_3123528,6.63273716,3123528,2023,7
1669,2023-08-01,ID_3123528,9.038015366,3123528,2023,8
1670,2023-08-02,ID_3123528,5.946382523,3123528,2023,8
1671,2023-08-03,ID_3123528,5.727720737,3123528,2023,8
1672,2023-08-04,ID_3123528,9.086606979,3123528,2023,8
1673,2023-08-05,ID_3123528,7.750340939,3123528,2023,8
1674,2023-08-06,ID_3123528,9.706148148,3123528,2023,8
1675,2023-08-07,ID_3123528,5.472615719,3123528,2023,8
1676,2023-08-08,ID_3123528,13.32013988,3123528,2023,8
1677,2023-08-09,ID_3123528,9.627186775,3123528,2023,8
1678,2023-08-10,ID_3123528,6.46874094,3123528,2023,8
1679,2023-08-11,ID_3123528,5.083883762,3123528,2023,8
1680,2023-08-12,ID_3123528,6.395853519,3123528,2023,8
1681,2023-08-13,ID_3123528,11.66802883,3123528,2023,8
1682,2023-08-14,ID_3123528,10.81767845,3123528,2023,8
1683,2023-08-15,ID_3123528,9.080533028,3123528,2023,8
1684,2023-08-16,ID_3123528,7.962928772,3123528,2023,8
1685,2023-08-17,ID_3123528,6.486962795,3123528,2023,8
1686,2023-08-18,ID_3123528,5.320766926,3123528,2023,8
1687,2023-08-19,ID_3123528,3.875170469,3123528,2023,8
1688,2023-08-20,ID_3123528,11.46151543,3123528,2023,8
1689,2023-08-21,ID_3123528,7.367683411,3123528,2023,8
1690,2023-08-22,ID_3123528,7.780710697,3123528,2023,8
1691,2023-08-23,ID_3123528,10.13739777,3123528,2023,8
1692,2023-08-24,ID_3123528,8.102629662,3123528,2023,8
1693,2023-08-25,ID_3123528,12.12964821,3123528,2023,8
1694,2023-08-26,ID_3123528,12.53660202,3123528,2023,8
1695,2023-08-27,ID_3123528,5.715572834,3123528,2023,8
1696,2023-08-28,ID_3123528,4.786260605,3123528,2023,8
1697,2023-08-29,ID_3123528,8.32129097,3123528,2023,8
1698,2023-08-30,ID_3123528,11.9231348,3123528,2023,8
1699,2023-08-31,ID_3123528,11.64980698,3123528,2023,8
1700,2023-09-01,ID_3123528,7.805006504,3123528,2023,9
1701,2023-09-02,ID_3123528,8.703948975,3123528,2023,9
1702,2023-09-03,ID_3123528,6.808881283,3123528,2023,9
1703,2023-09-04,ID_3123528,4.719447613,3123528,2023,9
1704,2023-09-05,ID_3123528,5.673055172,3123528,2023,9
1705,2023-09-06,ID_3123528,8.643209457,3123528,2023,9
1706,2023-09-07,ID_3123528,4.124201775,3123528,2023,9
1707,2023-09-08,ID_3123528,4.810556412,3123528,2023,9
1708,2023-09-09,ID_3123528,4.14242363,3123528,2023,9
1709,2023-09-10,ID_3123528,5.260027885,3123528,2023,9
1710,2023-09-11,ID_3123528,6.2318573,3123528,2023,9
1711,2023-09-12,ID_3123528,5.138548851,3123528,2023,9
1712,2023-09-13,ID_3123528,6.857472897,3123528,2023,9
1713,2023-09-14,ID_3123528,5.66698122,3123528,2023,9
1714,2023-09-15,ID_3123528,7.015395164,3123528,2023,9
1715,2023-09-16,ID_3123528,4.883443832,3123528,2023,9
1716,2023-09-17,ID_3123528,5.223584175,3123528,2023,9
1717,2023-09-18,ID_3123528,4.282124043,3123528,2023,9
1718,2023-09-19,ID_3123528,4.938109398,3123528,2023,9
1719,2023-09-20,ID_3123528,6.966803551,3123528,2023,9
1720,2023-09-21,ID_3123528,5.320766926,3123528,2023,9
1721,2023-09-22,ID_3123528,7.076134205,3123528,2023,9
1722,2023-09-23,ID_3123528,4.80448246,3123528,2023,9
1723,2023-09-24,ID_3123528,6.347261906,3123528,2023,9
1724,2023-09-25,ID_3123528,8.151221275,3123528,2023,9
1725,2023-09-26,ID_3123528,15.40957355,3123528,2023,9
1726,2023-09-27,ID_3123528,12.70059776,3123528,2023,9
1727,2023-09-28,ID_3123528,23.06273079,3123528,2023,9
1728,2023-09-29,ID_3123528,8.928684235,3123528,2023,9
1729,2023-09-30,ID_3123528,6.456593037,3123528,2023,9
1730,2023-10-01,ID_3123528,7.240130424,3123528,2023,10
1731,2023-10-02,ID_3123528,6.043565273,3123528,2023,10
1732,2023-10-03,ID_3123528,12.51838017,3123528,2023,10
1733,2023-10-04,ID_3123528,7.306943893,3123528,2023,10
1734,2023-10-05,ID_3123528,8.011520386,3123528,2023,10
1735,2023-10-06,ID_3123528,5.126401424,3123528,2023,10
1736,2023-10-07,ID_3123528,4.172793388,3123528,2023,10
1737,2023-10-08,ID_3123528,5.326840878,3123528,2023,10
1738,2023-10-09,ID_3123528,9.724370003,3123528,2023,10
1739,2023-10-10,ID_3123528,10.25887585,3123528,2023,10
1740,2023-10-11,ID_3123528,3.425699472,3123528,2023,10
1741,2023-10-12,ID_3123528,3.838726997,3123528,2023,10
1742,2023-10-13,ID_3123528,15.95015335,3123528,2023,10
1743,2023-10-14,ID_3123528,8.345586777,3123528,2023,10
1744,2023-10-15,ID_3123528,5.764164448,3123528,2023,10
1745,2023-10-16,ID_3123528,8.035816193,3123528,2023,10
1746,2023-10-17,ID_3123528,6.675254822,3123528,2023,10
1747,2023-10-18,ID_3123528,14.16441631,3123528,2023,10
1748,2023-10-19,ID_3123528,11.72876835,3123528,2023,10
1749,2023-10-20,ID_3123528,6.784585476,3123528,2023,10
1750,2023-10-21,ID_3123528,6.2318573,3123528,2023,10
1751,2023-10-22,ID_3123528,5.181066513,3123528,2023,10
1752,2023-10-23,ID_3123528,5.612316132,3123528,2023,10
1753,2023-10-24,ID_3123528,5.065661907,3123528,2023,10
1754,2023-10-25,ID_3123528,10.49575996,3123528,2023,10
1755,2023-10-26,ID_3123528,12.08105659,3123528,2023,10
1756,2023-10-27,ID_3123528,12.08105659,3123528,2023,10
1757,2023-10-28,ID_3123528,7.185465336,3123528,2023,10
1758,2023-10-29,ID_3123528,9.092680931,3123528,2023,10
1759,2023-10-30,ID_3123528,8.631061554,3123528,2023,10
1760,2023-10-31,ID_3123528,13.98827267,3123528,2023,10
1761,2023-11-01,ID_3123528,13.83034992,3123528,2023,11
1762,2023-11-02,ID_3123528,12.02639103,3123528,2023,11
1763,2023-11-03,ID_3123528,5.685203075,3123528,2023,11
1764,2023-11-04,ID_3123528,6.450519085,3123528,2023,11
1765,2023-11-05,ID_3123528,6.511258602,3123528,2023,11
1766,2023-11-06,ID_3123528,5.199288368,3123528,2023,11
1767,2023-11-07,ID_3123528,4.494711876,3123528,2023,11
1768,2023-11-08,ID_3123528,4.822704315,3123528,2023,11
1769,2023-11-09,ID_3123528,4.099905968,3123528,2023,11
1770,2023-11-10,ID_3123528,5.982826233,3123528,2023,11
1771,2023-11-11,ID_3123528,8.09655571,3123528,2023,11
1772,2023-11-12,ID_3123528,7.811080456,3123528,2023,11
1773,2023-11-13,ID_3123528,9.183790207,3123528,2023,11
1774,2023-11-14,ID_3123528,7.713897705,3123528,2023,11
1775,2023-11-15,ID_3123528,11.10315323,3123528,2023,11
1776,2023-11-16,ID_3123528,8.977275848,3123528,2023,11
1777,2023-11-17,ID_3123528,6.602367401,3123528,2023,11
1778,2023-11-18,ID_3123528,16.78835678,3123528,2023,11
1779,2023-11-19,ID_3123528,19.33940887,3123528,2023,11
1780,2023-11-20,ID_3123528,12.31186676,3123528,2023,11
1781,2023-11-21,ID_3123528,10.54435158,3123528,2023,11
1782,2023-11-22,ID_3123528,6.177191734,3123528,2023,11
1783,2023-11-23,ID_3123528,5.916012764,3123528,2023,11
1784,2023-11-24,ID_3123528,10.55649948,3123528,2023,11
1785,2023-11-25,ID_3123528,9.268824577,3123528,2023,11
1786,2023-11-26,ID_3123528,10.12524986,3123528,2023,11
1787,2023-11-27,ID_3123528,9.432821274,3123528,2023,11
